Country,Popularity,Title
Argentina,146704.35000000033,shape of you
Australia,197177.09999999995,shape of you
Austria,144178.75000000015,shape of you
Belgium,233766.89999999988,shape of you
Brazil,169428.80000000034,shape of you
Canada,153784.3000000002,shape of you
Chile,161841.25000000015,me rehúso
Colombia,192313.8000000001,shape of you
Costa Rica,228707.1999999991,shape of you
Denmark,139411.85000000018,shape of you
Ecuador,163554.64999999973,shape of you
Finland,119252.0500000002,dance monkey
France,158103.4500000003,shape of you
Germany,141217.90000000017,shape of you
Global,221570.99999999988,shape of you
Indonesia,173246.7999999998,dan...
Ireland,146629.40000000026,shape of you
Italy,128412.25000000023,shape of you
Malaysia,208073.5999999997,say you wont let go
Mexico,172164.99999999994,me rehúso
Netherlands,140016.8000000002,shape of you
New Zealand,197579.85,shape of you
Norway,156887.25000000006,dance monkey
Peru,170998.1499999999,me rehúso
Philippines,217605.7999999995,say you wont let go
Poland,202433.55000000037,shape of you
Portugal,165534.55000000034,shape of you
Singapore,217307.39999999944,shape of you
Spain,134475.7500000008,me rehúso
Sweden,148743.25000000026,shallow
Switzerland,189351.85000000027,shape of you
Taiwan,198230.1500000001,something just like this
Turkey,194056.25000000148,geceler
UK,158055.35000000027,shape of you
USA,140487.55000000045,sicko mode
